Plugin ID,CVE,CVSS v2.0 Base Score,Risk,Host,Protocol,Port,Name,Synopsis,Description,Solution,See Also,Plugin Output,STIG Severity,CVSS v4.0 Base Score,CVSS v4.0 Base+Threat Score,CVSS v3.0 Base Score,CVSS v2.0 Temporal Score,CVSS v3.0 Temporal Score,VPR Score,EPSS Score,Risk Factor,BID,XREF,MSKB,Plugin Publication Date,Plugin Modification Date,Metasploit,Core Impact,CANVAS
"10107","","","None","10.9.1.10","tcp","80","HTTP Server Type and Version","A web server is running on the remote host.","This plugin attempts to determine the type and the version of the
  remote web server.","n/a","","The remote web server type is :

nginx","","","","","","","","","None","","IAVT:0001-T-0931","","2000/01/04","2020/10/30","","",""
"10107","","","None","10.9.1.10","tcp","443","HTTP Server Type and Version","A web server is running on the remote host.","This plugin attempts to determine the type and the version of the
  remote web server.","n/a","","The remote web server type is :

nginx","","","","","","","","","None","","IAVT:0001-T-0931","","2000/01/04","2020/10/30","","",""
"10107","","","None","10.9.1.10","tcp","9443","HTTP Server Type and Version","A web server is running on the remote host.","This plugin attempts to determine the type and the version of the
  remote web server.","n/a","","The remote web server type is :

nginx","","","","","","","","","None","","IAVT:0001-T-0931","","2000/01/04","2020/10/30","","",""
"10107","","","None","10.9.1.10","tcp","54042","HTTP Server Type and Version","A web server is running on the remote host.","This plugin attempts to determine the type and the version of the
  remote web server.","n/a","","The remote web server type is :

nginx","","","","","","","","","None","","IAVT:0001-T-0931","","2000/01/04","2020/10/30","","",""
"10114","CVE-1999-0524","2.1","Low","10.9.1.10","icmp","0","ICMP Timestamp Request Remote Date Disclosure","It is possible to determine the exact time set on the remote host.","The remote host answers to an ICMP timestamp request.  This allows an
attacker to know the date that is set on the targeted machine, which
may assist an unauthenticated, remote attacker in defeating time-based
authentication protocols.

Timestamps returned from machines running Windows Vista / 7 / 2008 /
2008 R2 are deliberately incorrect, but usually within 1000 seconds of
the actual system time.","Filter out the ICMP timestamp requests (13), and the outgoing ICMP
timestamp replies (14).","","The remote clock is synchronized with the local clock.
","","","","","","","","0.0037","Low","","CWE:200","","1999/08/01","2024/10/07","","",""
"10223","CVE-1999-0632","0.0","None","10.9.1.10","udp","111","RPC portmapper Service Detection","An ONC RPC portmapper is running on the remote host.","The RPC portmapper is running on this port.

The portmapper allows someone to get the port number of each RPC
service running on the remote host by sending either multiple lookup
requests or a DUMP request.","n/a","","","","","","0.0","","","","","None","","","","1999/08/19","2019/10/04","","",""
"10267","","","None","10.9.1.10","tcp","22","SSH Server Type and Version Information","An SSH server is listening on this port.","It is possible to obtain information about the remote SSH server by
sending an empty authentication request.","n/a","","
SSH version : SSH-2.0-OpenSSH_8.9p1 Ubuntu-3ubuntu0.15
SSH supported authentication : publickey
","","","","","","","","","None","","IAVT:0001-T-0933","","1999/10/12","2024/07/24","","",""
"10287","","","None","10.9.1.10","udp","0","Traceroute Information","It was possible to obtain traceroute information.","Makes a traceroute to the remote host.","n/a","","For your information, here is the traceroute from 10.8.0.1 to 10.9.1.10 : 
10.8.0.1
10.9.1.10

Hop Count: 1
","","","","","","","","","None","","","","1999/11/27","2023/12/04","","",""
"10863","","","None","10.9.1.10","tcp","443","SSL Certificate Information","This plugin displays the SSL certificate.","This plugin connects to every SSL-related port and attempts to 
extract and dump the X.509 certificate.","n/a","","Subject Name: 

Common Name: soc.mx.managesoc.com

Issuer Name: 

Country: US
Organization: Let's Encrypt
Common Name: R13

Serial Number: 06 18 62 A2 4A 2C E2 A7 40 C8 97 0D 97 87 9D 1E 1A 4D 

Version: 3

Signature Algorithm: SHA-256 With RSA Encryption

Not Valid Before: Mar 01 13:10:30 2026 GMT
Not Valid After: May 30 13:10:29 2026 GMT

Public Key Info: 

Algorithm: RSA Encryption
Key Length: 2048 bits
Public Key: 00 C8 7D B1 5E ED 04 AA 92 A8 79 53 90 AA 99 F6 35 67 8A 06 
            E0 EC F1 45 39 0B 3C 1E 16 E8 35 C4 53 D8 CB 91 F3 B8 5E 56 
            AE 86 05 2F 27 1A 11 D2 6B CB 95 2D B4 FD 54 59 CF C5 C6 16 
            B0 6C 1E ED 83 E5 AE 3A 5C E4 D4 37 89 8F C0 6B B7 19 73 3A 
            15 6C 38 66 46 EE 1C 76 53 44 58 65 2C 31 0D 54 43 A0 A2 BC 
            33 C8 37 DC 8D A6 12 87 68 72 3B F6 B7 D7 C0 97 C4 2D 50 BC 
            1D 25 F0 D8 CF A7 72 C5 C1 64 DA 4A 1D 4B 5C E6 B5 E3 7A AD 
            94 6F BC 01 3D 46 8E D9 18 B8 C0 81 06 BC 66 F5 09 6F E1 16 
            4F 01 A6 AB 4F E8 34 B7 68 51 CA 13 72 78 D6 49 61 6D 76 0C 
            3E 7A F8 7C 3B 0D A7 19 49 EA 8D DF FE 36 12 83 09 54 E6 FD 
            24 63 2E EB 98 7F 5F 5D 17 0E 4D 77 1B 91 60 BF 9D 51 6D 3A 
            3A C5 9E E5 35 AC 9C D0 A6 81 96 32 23 9A FB 8C A6 00 F6 60 
            09 BF EC 33 BC 55 96 83 1D 9B D2 E5 9B 58 DA 36 83 
Exponent: 01 00 01 

Signature Length: 256 bytes / 2048 bits
Signature: 00 1B 38 54 89 1B FD BD 7C 95 86 34 C7 B7 11 EF 81 FB 5F 92 
           57 FF 50 90 EB 6D 64 47 7E 1A A0 CF 23 06 EA E4 53 51 53 59 
           EA 89 79 80 29 3E 00 54 61 BB A9 7C 21 3B 34 31 A4 C1 D0 E0 
           66 D0 92 3F 29 D2 4D 08 62 A7 C9 99 34 AA BE 9D 57 40 56 C6 
           0C B2 65 B4 9F 6B 83 4B 13 70 CC FA 5E 08 7D 54 49 42 BC 23 
           F1 83 AD BE CF 67 A2 7C 71 BD F2 7B C0 AC DB 2D F4 14 BA 3A 
           E0 64 08 12 5E 49 7A 1F 0B EE DB 8B 2E 2F C8 B6 FE F6 66 7D 
           25 E6 C2 0D D1 88 CD BE 21 AB 1D F6 9C AB 06 6B BC 68 9F FC 
           66 5F 6C 35 3A 70 32 10 9B 63 E4 05 E5 14 FD A9 D0 AC 3B 9F 
           7A 76 64 C3 9C 69 7A 78 98 A0 E7 5B D7 AD 2F 65 2F D1 FD 6A 
           C6 20 E5 14 64 F9 AD 67 70 BA B7 48 DE D8 D9 CE 62 8A C9 C9 
           CA 4F 13 17 94 B0 E7 F9 4F D3 77 8D 5B 59 53 24 BB 37 34 31 
           B2 80 C7 0D 34 92 6E C5 6A 46 8F B2 FB 3D 3C A1 33 

Extension: Key Usage(2.5.29.15)
Critical: 1
Key Usage: Digital Signature, Key Encipherment


Extension: Extended Key Usage(2.5.29.37)
Critical: 0
Purpose#1: Web Server Authentication (1.3.6.1.5.5.7.3.1)


Extension: Basic Constraints(2.5.29.19)
Critical: 1


Extension: Subject Key Identifier(2.5.29.14)
Critical: 0
Subject Key Identifier: 39 EA 11 D3 75 9E AF BF E2 6C EA 28 98 AC DC 1F 50 F9 06 90 


Extension: Authority Key Identifier(2.5.29.35)
Critical: 0
Key Identifier: E7 AB 9F 0F 2C 33 A0 53 D3 5E 4F 78 C8 B2 84 0E 3B D6 92 33 


Extension: Authority Information Access(1.3.6.1.5.5.7.1.1)
Critical: 0
Method#1: Certificate Authority Issuers
URI: http://r13.i.lencr.org/


Extension: Subject Alternative Name(2.5.29.17)
Critical: 0
DNS: soc.mx.managesoc.com


Extension: Policies(2.5.29.32)
Critical: 0
Policy ID #1: 2.23.140.1.2.1


Extension: CRL Distribution Points(2.5.29.31)
Critical: 0
URI: http://r13.c.lencr.org/78.crl


Extension: 1.3.6.1.4.1.11129.2.4.2
Critical: 0
Data: 04 81 FA 00 F8 00 75 00 96 97 64 BF 55 58 97 AD F7 43 87 68 
      37 08 42 77 E9 F0 3A D5 F6 A4 F3 36 6E 46 A4 3F 0F CA A9 C6 
      00 00 01 9C A9 BB 25 42 00 00 04 03 00 46 30 44 02 20 1E 39 
      93 C4 4E D0 DB 91 EC 7A 67 AE 62 3D 34 31 F0 C4 FC FC 3F F6 
      3B FA 2F B9 33 67 29 58 B8 EF 02 20 29 E9 9F F6 FA 90 08 83 
      47 DF 4F CC 8B B0 25 81 54 97 FC C1 BC A7 1E 0D 12 C0 F0 76 
      53 FC 37 7F 00 7F 00 E3 23 8D F2 8D A2 88 E0 AA E0 AC F0 FA 
      90 C9 85 F0 B6 BF F5 D2 A5 27 B0 01 FC 1C 44 58 C4 B6 E8 00 
      00 01 9C A9 BB 26 6C 00 08 00 00 05 00 34 26 44 1D 04 03 00 
      48 30 46 02 21 00 92 CC 6C D7 41 FB 7E CF 8B 0B A6 4F F4 BC 
      74 A7 DB FE CB 27 66 22 91 A7 8D 1B DB CF DE 2F 21 E4 02 21 
      00 93 99 C5 9D 40 5F 82 10 19 A5 6D 90 E2 ED B1 16 6C 39 31 
      BC 3F BB A2 4E 56 31 4C 6E BA BE 10 F6 


Fingerprints : 

SHA-256 Fingerprint: F5 AF AD DB 4A 73 11 DC C0 E6 F0 75 AD 71 79 ED 41 D5 87 06 
                     D9 4B 3B 21 77 1A E2 EB 16 BE B7 B9 
SHA-1 Fingerprint: F9 DF EA 00 EB DA 1C 8C 8D 9C 2A D7 34 B7 50 07 40 B9 86 F8 
MD5 Fingerprint: 3D E7 C3 24 ED 83 62 10 72 0D 25 06 87 A6 04 C1 


PEM certificate : 

-----BEGIN CERTIFICATE-----
MIIFAjCCA+qgAwIBAgISBhhiokos4qdAyJcNl4edHhpNMA0GCSqGSIb3DQEBCwUAMDMxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQwwCgYDVQQDEwNSMTMwHhcNMjYwMzAxMTMxMDMwWhcNMjYwNTMwMTMxMDI5WjAfMR0wGwYDVQQDExRzb2MubXgubWFuYWdlc29jLmNvbTCCASIwDQYJKoZIhvcNAQEBBQADggEPADCCAQoCggEBAMh9sV7tBKqSqHlTkKqZ9jVnigbg7PFFOQs8HhboNcRT2MuR87heVq6GBS8nGhHSa8uVLbT9VFnPxcYWsGwe7YPlrjpc5NQ3iY/Aa7cZczoVbDhmRu4cdlNEWGUsMQ1UQ6CivDPIN9yNphKHaHI79rfXwJfELVC8HSXw2M+ncsXBZNpKHUtc5rXjeq2Ub7wBPUaO2Ri4wIEGvGb1CW/hFk8BpqtP6DS3aFHKE3J41klhbXYMPnr4fDsNpxlJ6o3f/jYSgwlU5v0kYy7rmH9fXRcOTXcbkWC/nVFtOjrFnuU1rJzQpoGWMiOa+4ymAPZgCb/sM7xVloMdm9Llm1jaNoMCAwEAAaOCAiIwggIeMA4GA1UdDwEB/wQEAwIFoDATBgNVHSUEDDAKBggrBgEFBQcDATAMBgNVHRMBAf8EAjAAMB0GA1UdDgQWBBQ56hHTdZ6vv+Js6iiYrNwfUPkGkDAfBgNVHSMEGDAWgBTnq58PLDOgU9NeT3jIsoQOO9aSMzAzBggrBgEFBQcBAQQnMCUwIwYIKwYBBQUHMAKGF2h0dHA6Ly9yMTMuaS5sZW5jci5vcmcvMB8GA1UdEQQYMBaCFHNvYy5teC5tYW5hZ2Vzb2MuY29tMBMGA1UdIAQMMAowCAYGZ4EMAQIBMC4GA1UdHwQnMCUwI6AhoB+GHWh0dHA6Ly9yMTMuYy5sZW5jci5vcmcvNzguY3JsMIIBDAYKKwYBBAHWeQIEAgSB/QSB+gD4AHUAlpdkv1VYl633Q4doNwhCd+nwOtX2pPM2bkakPw/KqcYAAAGcqbslQgAABAMARjBEAiAeOZPETtDbkex6Z65iPTQx8MT8/D/2O/ovuTNnKVi47wIgKemf9vqQCINH30/Mi7AlgVSX/MG8px4NEsDwdlP8N38AfwDjI43yjaKI4KrgrPD6kMmF8La/9dKlJ7AB/BxEWMS26AAAAZypuyZsAAgAAAUANCZEHQQDAEgwRgIhAJLMbNdB+37PiwumT/S8dKfb/ssnZiKRp40b28/eLyHkAiEAk5nFnUBfghAZpW2Q4u2xFmw5Mbw/u6JOVjFMbrq+EPYwDQYJKoZIhvcNAQELBQADggEBABs4VIkb/b18lYY0x7cR74H7X5JX/1CQ621kR34aoM8jBurkU1FTWeqJeYApPgBUYbupfCE7NDGkwdDgZtCSPynSTQhip8mZNKq+nVdAVsYMsmW0n2uDSxNwzPpeCH1USUK8I/GDrb7PZ6J8cb3ye8Cs2y30FLo64GQIEl5Jeh8L7tuLLi/Itv72Zn0l5sIN0YjNviGrHfacqwZrvGif/GZfbDU6cDIQm2PkBeUU/anQrDufenZkw5xpeniYoOdb160vZS/R/WrGIOUUZPmtZ3C6t0je2NnOYorJycpPExeUsOf5T9N3jVtZUyS7NzQxsoDHDTSSbsVqRo+y+z08oTM=
-----END CERTIFICATE-----","","","","","","","","","None","","","","2008/05/19","2021/02/03","","",""
"10863","","","None","10.9.1.10","tcp","9443","SSL Certificate Information","This plugin displays the SSL certificate.","This plugin connects to every SSL-related port and attempts to 
extract and dump the X.509 certificate.","n/a","","Subject Name: 

Common Name: soc.mx.managesoc.com

Issuer Name: 

Country: US
Organization: Let's Encrypt
Common Name: R13

Serial Number: 06 18 62 A2 4A 2C E2 A7 40 C8 97 0D 97 87 9D 1E 1A 4D 

Version: 3

Signature Algorithm: SHA-256 With RSA Encryption

Not Valid Before: Mar 01 13:10:30 2026 GMT
Not Valid After: May 30 13:10:29 2026 GMT

Public Key Info: 

Algorithm: RSA Encryption
Key Length: 2048 bits
Public Key: 00 C8 7D B1 5E ED 04 AA 92 A8 79 53 90 AA 99 F6 35 67 8A 06 
            E0 EC F1 45 39 0B 3C 1E 16 E8 35 C4 53 D8 CB 91 F3 B8 5E 56 
            AE 86 05 2F 27 1A 11 D2 6B CB 95 2D B4 FD 54 59 CF C5 C6 16 
            B0 6C 1E ED 83 E5 AE 3A 5C E4 D4 37 89 8F C0 6B B7 19 73 3A 
            15 6C 38 66 46 EE 1C 76 53 44 58 65 2C 31 0D 54 43 A0 A2 BC 
            33 C8 37 DC 8D A6 12 87 68 72 3B F6 B7 D7 C0 97 C4 2D 50 BC 
            1D 25 F0 D8 CF A7 72 C5 C1 64 DA 4A 1D 4B 5C E6 B5 E3 7A AD 
            94 6F BC 01 3D 46 8E D9 18 B8 C0 81 06 BC 66 F5 09 6F E1 16 
            4F 01 A6 AB 4F E8 34 B7 68 51 CA 13 72 78 D6 49 61 6D 76 0C 
            3E 7A F8 7C 3B 0D A7 19 49 EA 8D DF FE 36 12 83 09 54 E6 FD 
            24 63 2E EB 98 7F 5F 5D 17 0E 4D 77 1B 91 60 BF 9D 51 6D 3A 
            3A C5 9E E5 35 AC 9C D0 A6 81 96 32 23 9A FB 8C A6 00 F6 60 
            09 BF EC 33 BC 55 96 83 1D 9B D2 E5 9B 58 DA 36 83 
Exponent: 01 00 01 

Signature Length: 256 bytes / 2048 bits
Signature: 00 1B 38 54 89 1B FD BD 7C 95 86 34 C7 B7 11 EF 81 FB 5F 92 
           57 FF 50 90 EB 6D 64 47 7E 1A A0 CF 23 06 EA E4 53 51 53 59 
           EA 89 79 80 29 3E 00 54 61 BB A9 7C 21 3B 34 31 A4 C1 D0 E0 
           66 D0 92 3F 29 D2 4D 08 62 A7 C9 99 34 AA BE 9D 57 40 56 C6 
           0C B2 65 B4 9F 6B 83 4B 13 70 CC FA 5E 08 7D 54 49 42 BC 23 
           F1 83 AD BE CF 67 A2 7C 71 BD F2 7B C0 AC DB 2D F4 14 BA 3A 
           E0 64 08 12 5E 49 7A 1F 0B EE DB 8B 2E 2F C8 B6 FE F6 66 7D 
           25 E6 C2 0D D1 88 CD BE 21 AB 1D F6 9C AB 06 6B BC 68 9F FC 
           66 5F 6C 35 3A 70 32 10 9B 63 E4 05 E5 14 FD A9 D0 AC 3B 9F 
           7A 76 64 C3 9C 69 7A 78 98 A0 E7 5B D7 AD 2F 65 2F D1 FD 6A 
           C6 20 E5 14 64 F9 AD 67 70 BA B7 48 DE D8 D9 CE 62 8A C9 C9 
           CA 4F 13 17 94 B0 E7 F9 4F D3 77 8D 5B 59 53 24 BB 37 34 31 
           B2 80 C7 0D 34 92 6E C5 6A 46 8F B2 FB 3D 3C A1 33 

Extension: Key Usage(2.5.29.15)
Critical: 1
Key Usage: Digital Signature, Key Encipherment


Extension: Extended Key Usage(2.5.29.37)
Critical: 0
Purpose#1: Web Server Authentication (1.3.6.1.5.5.7.3.1)


Extension: Basic Constraints(2.5.29.19)
Critical: 1


Extension: Subject Key Identifier(2.5.29.14)
Critical: 0
Subject Key Identifier: 39 EA 11 D3 75 9E AF BF E2 6C EA 28 98 AC DC 1F 50 F9 06 90 


Extension: Authority Key Identifier(2.5.29.35)
Critical: 0
Key Identifier: E7 AB 9F 0F 2C 33 A0 53 D3 5E 4F 78 C8 B2 84 0E 3B D6 92 33 


Extension: Authority Information Access(1.3.6.1.5.5.7.1.1)
Critical: 0
Method#1: Certificate Authority Issuers
URI: http://r13.i.lencr.org/


Extension: Subject Alternative Name(2.5.29.17)
Critical: 0
DNS: soc.mx.managesoc.com


Extension: Policies(2.5.29.32)
Critical: 0
Policy ID #1: 2.23.140.1.2.1


Extension: CRL Distribution Points(2.5.29.31)
Critical: 0
URI: http://r13.c.lencr.org/78.crl


Extension: 1.3.6.1.4.1.11129.2.4.2
Critical: 0
Data: 04 81 FA 00 F8 00 75 00 96 97 64 BF 55 58 97 AD F7 43 87 68 
      37 08 42 77 E9 F0 3A D5 F6 A4 F3 36 6E 46 A4 3F 0F CA A9 C6 
      00 00 01 9C A9 BB 25 42 00 00 04 03 00 46 30 44 02 20 1E 39 
      93 C4 4E D0 DB 91 EC 7A 67 AE 62 3D 34 31 F0 C4 FC FC 3F F6 
      3B FA 2F B9 33 67 29 58 B8 EF 02 20 29 E9 9F F6 FA 90 08 83 
      47 DF 4F CC 8B B0 25 81 54 97 FC C1 BC A7 1E 0D 12 C0 F0 76 
      53 FC 37 7F 00 7F 00 E3 23 8D F2 8D A2 88 E0 AA E0 AC F0 FA 
      90 C9 85 F0 B6 BF F5 D2 A5 27 B0 01 FC 1C 44 58 C4 B6 E8 00 
      00 01 9C A9 BB 26 6C 00 08 00 00 05 00 34 26 44 1D 04 03 00 
      48 30 46 02 21 00 92 CC 6C D7 41 FB 7E CF 8B 0B A6 4F F4 BC 
      74 A7 DB FE CB 27 66 22 91 A7 8D 1B DB CF DE 2F 21 E4 02 21 
      00 93 99 C5 9D 40 5F 82 10 19 A5 6D 90 E2 ED B1 16 6C 39 31 
      BC 3F BB A2 4E 56 31 4C 6E BA BE 10 F6 


Fingerprints : 

SHA-256 Fingerprint: F5 AF AD DB 4A 73 11 DC C0 E6 F0 75 AD 71 79 ED 41 D5 87 06 
                     D9 4B 3B 21 77 1A E2 EB 16 BE B7 B9 
SHA-1 Fingerprint: F9 DF EA 00 EB DA 1C 8C 8D 9C 2A D7 34 B7 50 07 40 B9 86 F8 
MD5 Fingerprint: 3D E7 C3 24 ED 83 62 10 72 0D 25 06 87 A6 04 C1 


PEM certificate : 

-----BEGIN CERTIFICATE-----
MIIFAjCCA+qgAwIBAgISBhhiokos4qdAyJcNl4edHhpNMA0GCSqGSIb3DQEBCwUAMDMxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQwwCgYDVQQDEwNSMTMwHhcNMjYwMzAxMTMxMDMwWhcNMjYwNTMwMTMxMDI5WjAfMR0wGwYDVQQDExRzb2MubXgubWFuYWdlc29jLmNvbTCCASIwDQYJKoZIhvcNAQEBBQADggEPADCCAQoCggEBAMh9sV7tBKqSqHlTkKqZ9jVnigbg7PFFOQs8HhboNcRT2MuR87heVq6GBS8nGhHSa8uVLbT9VFnPxcYWsGwe7YPlrjpc5NQ3iY/Aa7cZczoVbDhmRu4cdlNEWGUsMQ1UQ6CivDPIN9yNphKHaHI79rfXwJfELVC8HSXw2M+ncsXBZNpKHUtc5rXjeq2Ub7wBPUaO2Ri4wIEGvGb1CW/hFk8BpqtP6DS3aFHKE3J41klhbXYMPnr4fDsNpxlJ6o3f/jYSgwlU5v0kYy7rmH9fXRcOTXcbkWC/nVFtOjrFnuU1rJzQpoGWMiOa+4ymAPZgCb/sM7xVloMdm9Llm1jaNoMCAwEAAaOCAiIwggIeMA4GA1UdDwEB/wQEAwIFoDATBgNVHSUEDDAKBggrBgEFBQcDATAMBgNVHRMBAf8EAjAAMB0GA1UdDgQWBBQ56hHTdZ6vv+Js6iiYrNwfUPkGkDAfBgNVHSMEGDAWgBTnq58PLDOgU9NeT3jIsoQOO9aSMzAzBggrBgEFBQcBAQQnMCUwIwYIKwYBBQUHMAKGF2h0dHA6Ly9yMTMuaS5sZW5jci5vcmcvMB8GA1UdEQQYMBaCFHNvYy5teC5tYW5hZ2Vzb2MuY29tMBMGA1UdIAQMMAowCAYGZ4EMAQIBMC4GA1UdHwQnMCUwI6AhoB+GHWh0dHA6Ly9yMTMuYy5sZW5jci5vcmcvNzguY3JsMIIBDAYKKwYBBAHWeQIEAgSB/QSB+gD4AHUAlpdkv1VYl633Q4doNwhCd+nwOtX2pPM2bkakPw/KqcYAAAGcqbslQgAABAMARjBEAiAeOZPETtDbkex6Z65iPTQx8MT8/D/2O/ovuTNnKVi47wIgKemf9vqQCINH30/Mi7AlgVSX/MG8px4NEsDwdlP8N38AfwDjI43yjaKI4KrgrPD6kMmF8La/9dKlJ7AB/BxEWMS26AAAAZypuyZsAAgAAAUANCZEHQQDAEgwRgIhAJLMbNdB+37PiwumT/S8dKfb/ssnZiKRp40b28/eLyHkAiEAk5nFnUBfghAZpW2Q4u2xFmw5Mbw/u6JOVjFMbrq+EPYwDQYJKoZIhvcNAQELBQADggEBABs4VIkb/b18lYY0x7cR74H7X5JX/1CQ621kR34aoM8jBurkU1FTWeqJeYApPgBUYbupfCE7NDGkwdDgZtCSPynSTQhip8mZNKq+nVdAVsYMsmW0n2uDSxNwzPpeCH1USUK8I/GDrb7PZ6J8cb3ye8Cs2y30FLo64GQIEl5Jeh8L7tuLLi/Itv72Zn0l5sIN0YjNviGrHfacqwZrvGif/GZfbDU6cDIQm2PkBeUU/anQrDufenZkw5xpeniYoOdb160vZS/R/WrGIOUUZPmtZ3C6t0je2NnOYorJycpPExeUsOf5T9N3jVtZUyS7NzQxsoDHDTSSbsVqRo+y+z08oTM=
-----END CERTIFICATE-----","","","","","","","","","None","","","","2008/05/19","2021/02/03","","",""
