Plugin ID,CVE,CVSS v2.0 Base Score,Risk,Host,Protocol,Port,Name,Synopsis,Description,Solution,See Also,Plugin Output,STIG Severity,CVSS v4.0 Base Score,CVSS v4.0 Base+Threat Score,CVSS v3.0 Base Score,CVSS v2.0 Temporal Score,CVSS v3.0 Temporal Score,VPR Score,EPSS Score,Risk Factor,BID,XREF,MSKB,Plugin Publication Date,Plugin Modification Date,Metasploit,Core Impact,CANVAS
"10114","CVE-1999-0524","2.1","Low","10.7.1.11","icmp","0","ICMP Timestamp Request Remote Date Disclosure","It is possible to determine the exact time set on the remote host.","The remote host answers to an ICMP timestamp request.  This allows an
attacker to know the date that is set on the targeted machine, which
may assist an unauthenticated, remote attacker in defeating time-based
authentication protocols.

Timestamps returned from machines running Windows Vista / 7 / 2008 /
2008 R2 are deliberately incorrect, but usually within 1000 seconds of
the actual system time.","Filter out the ICMP timestamp requests (13), and the outgoing ICMP
timestamp replies (14).","","The remote clock is synchronized with the local clock.
","","","","","","","","0.0037","Low","","CWE:200","","1999/08/01","2024/10/07","","",""
"10267","","","None","10.7.1.11","tcp","22","SSH Server Type and Version Information","An SSH server is listening on this port.","It is possible to obtain information about the remote SSH server by
sending an empty authentication request.","n/a","","
SSH version : SSH-2.0-OpenSSH_8.9p1 Ubuntu-3ubuntu0.13
SSH supported authentication : publickey
","","","","","","","","","None","","IAVT:0001-T-0933","","1999/10/12","2024/07/24","","",""
"10287","","","None","10.7.1.11","udp","0","Traceroute Information","It was possible to obtain traceroute information.","Makes a traceroute to the remote host.","n/a","","For your information, here is the traceroute from 10.8.0.1 to 10.7.1.11 : 
10.8.0.1
10.7.1.11

Hop Count: 1
","","","","","","","","","None","","","","1999/11/27","2023/12/04","","",""
"10863","","","None","10.7.1.11","tcp","5601","SSL Certificate Information","This plugin displays the SSL certificate.","This plugin connects to every SSL-related port and attempts to 
extract and dump the X.509 certificate.","n/a","","Subject Name: 

Domain Component: com
Domain Component: sov2
Organization Unit: SOCv2
Common Name: kb1-za.sharkstriker.local

Issuer Name: 

Common Name: Elastic Certificate Tool Autogenerated CA

Serial Number: 24 57 5C 20 6A 2F 27 19 E3 DA 62 80 39 81 08 16 F6 A6 43 31 

Version: 3

Signature Algorithm: SHA-256 With RSA Encryption

Not Valid Before: Aug 09 07:02:32 2023 GMT
Not Valid After: Aug 08 07:02:32 2026 GMT

Public Key Info: 

Algorithm: RSA Encryption
Key Length: 2048 bits
Public Key: 00 AD 9C B4 8B 0D 92 99 8E C7 48 D8 D3 E9 47 52 2A F3 EB 3F 
            26 F8 65 E9 C7 F8 C7 4B A5 9D E8 B2 A6 CE E8 10 14 08 89 41 
            DE 55 28 45 A1 3C 0E CC D7 74 2C 24 0F CB 7D B7 6A 62 24 1B 
            B5 7D DC 23 99 A3 3B 84 8E 9D 9E 98 8F 6A 00 37 24 D2 04 D9 
            5C 82 EE 55 10 0C 12 84 88 EB 57 7C 8D 93 B1 9E BB 0F 30 5E 
            14 8B 32 3F C7 7A A8 0E 78 95 C4 8B 0C 63 EC A5 1B 20 1C 19 
            79 7C A6 55 85 FC 9C 94 BB 0E 7F 3D B9 9F CF 42 14 98 8F F5 
            33 36 BA 9B 70 35 16 A3 32 39 5D B9 DC 40 48 C4 F8 F7 69 94 
            A8 A6 7E EC C7 12 D3 D7 25 F7 B3 6B F5 C3 41 03 A0 2E 62 2D 
            9E 63 45 09 D6 2E 2F 42 8D 0A 00 48 06 55 E2 FE 19 A4 B2 EA 
            12 86 16 85 F6 F7 47 45 A0 EA D9 54 5D 72 BE 98 D0 34 77 24 
            19 F5 F1 94 D3 D6 AB 51 76 C9 6C D9 7E 4C C6 3D EF CC B0 37 
            5F 02 6C 93 BA 2E 44 58 E0 6A 27 7F D9 6D 75 15 EB 
Exponent: 01 00 01 

Signature Length: 256 bytes / 2048 bits
Signature: 00 3B 6B F0 F4 C4 60 AC 1E 8C 52 CE BD D6 85 B9 32 78 8F AF 
           6B 08 4C 03 D5 84 9B 49 C0 31 44 90 DD 74 52 24 EC 51 63 75 
           7F E9 90 95 59 08 D1 CA 00 24 59 54 D4 F6 C8 4C E7 AA 08 00 
           2B 48 23 8D B1 28 4B 62 34 31 4F 0F 9D 9A E9 B6 21 63 97 0B 
           73 64 00 CF 57 EC C2 36 BC 0E D6 A8 25 16 1F C0 EF CF BD E2 
           D2 6D 7A 4C 00 5A 9C A2 D2 E3 B3 23 6B 4B 2C 21 2C 93 FF 08 
           B9 D7 36 AD 71 57 F6 9A 78 31 C6 ED AD 41 D5 32 8B CC C9 09 
           B2 01 80 59 3D 2C 4A 13 5A CA 1B 77 3B 62 1C 76 54 48 30 02 
           8D 99 9C 56 36 B6 DE 1A 1C 87 9C 7C 25 78 52 6C E1 5A A6 98 
           06 7F 23 D6 21 D6 F7 60 99 4C D9 57 FB A8 FB B3 55 FB E2 5A 
           3F 48 70 EB 11 A9 2F CA 76 50 12 8D 4F 88 7C 46 CB C9 A7 89 
           1C 6C A3 BE D4 40 75 CC 96 71 CD 3C A9 47 3C 05 18 BE 40 ED 
           2C 4E 9E C5 09 2F 57 96 8F 83 8A 4B 1D BF D0 E7 36 

Extension: Subject Key Identifier(2.5.29.14)
Critical: 0
Subject Key Identifier: 77 70 9A CB 12 D8 E5 3B 0F 72 EE B4 E1 B9 1B 93 C4 63 CF 1F 


Extension: Authority Key Identifier(2.5.29.35)
Critical: 0
Key Identifier: 53 CB 79 81 76 26 08 71 BC 55 81 3A 8C 9C 9F 6F 09 5E 1B E7 


Extension: Basic Constraints(2.5.29.19)
Critical: 0


Fingerprints : 

SHA-256 Fingerprint: 45 A3 0B 9E 45 25 1C D5 87 C7 11 E8 1B 6F 1B 1E 9D 62 A5 AF 
                     DC 4C AC A6 23 BF DD 1F 6D EE 17 6B 
SHA-1 Fingerprint: 65 3F 02 5C 74 3A 52 79 AD 36 6C 09 20 AC 14 CA FF 41 F6 9E 
MD5 Fingerprint: 40 55 7C 26 F5 F8 CA 7A A1 D1 68 96 98 0C 54 0B 


PEM certificate : 

-----BEGIN CERTIFICATE-----
MIIDbjCCAlagAwIBAgIUJFdcIGovJxnj2mKAOYEIFvamQzEwDQYJKoZIhvcNAQELBQAwNDEyMDAGA1UEAxMpRWxhc3RpYyBDZXJ0aWZpY2F0ZSBUb29sIEF1dG9nZW5lcmF0ZWQgQ0EwHhcNMjMwODA5MDcwMjMyWhcNMjYwODA4MDcwMjMyWjBfMRMwEQYKCZImiZPyLGQBGRYDY29tMRQwEgYKCZImiZPyLGQBGRYEc292MjEOMAwGA1UECxMFU09DdjIxIjAgBgNVBAMTGWtiMS16YS5zaGFya3N0cmlrZXIubG9jYWwwggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAwggEKAoIBAQCtnLSLDZKZjsdI2NPpR1Iq8+s/Jvhl6cf4x0ulneiyps7oEBQIiUHeVShFoTwOzNd0LCQPy323amIkG7V93COZozuEjp2emI9qADck0gTZXILuVRAMEoSI61d8jZOxnrsPMF4UizI/x3qoDniVxIsMY+ylGyAcGXl8plWF/JyUuw5/Pbmfz0IUmI/1Mza6m3A1FqMyOV253EBIxPj3aZSopn7sxxLT1yX3s2v1w0EDoC5iLZ5jRQnWLi9CjQoASAZV4v4ZpLLqEoYWhfb3R0Wg6tlUXXK+mNA0dyQZ9fGU09arUXbJbNl+TMY978ywN18CbJO6LkRY4Gonf9ltdRXrAgMBAAGjTTBLMB0GA1UdDgQWBBR3cJrLEtjlOw9y7rThuRuTxGPPHzAfBgNVHSMEGDAWgBRTy3mBdiYIcbxVgTqMnJ9vCV4b5zAJBgNVHRMEAjAAMA0GCSqGSIb3DQEBCwUAA4IBAQA7a/D0xGCsHoxSzr3WhbkyeI+vawhMA9WEm0nAMUSQ3XRSJOxRY3V/6ZCVWQjRygAkWVTU9shM56oIACtII42xKEtiNDFPD52a6bYhY5cLc2QAz1fswja8DtaoJRYfwO/PveLSbXpMAFqcotLjsyNrSywhLJP/CLnXNq1xV/aaeDHG7a1B1TKLzMkJsgGAWT0sShNayht3O2IcdlRIMAKNmZxWNrbeGhyHnHwleFJs4VqmmAZ/I9Yh1vdgmUzZV/uo+7NV++JaP0hw6xGpL8p2UBKNT4h8RsvJp4kcbKO+1EB1zJZxzTypRzwFGL5A7SxOnsUJL1eWj4OKSx2/0Oc2
-----END CERTIFICATE-----","","","","","","","","","None","","","","2008/05/19","2021/02/03","","",""
"10881","","","None","10.7.1.11","tcp","22","SSH Protocol Versions Supported","A SSH server is running on the remote host.","This plugin determines the versions of the SSH protocol supported by
the remote SSH daemon.","n/a","","The remote SSH daemon supports the following versions of the
SSH protocol :

  - 1.99
  - 2.0
","","","","","","","","","None","","","","2002/03/06","2026/01/12","","",""
"10884","","","None","10.7.1.11","udp","123","Network Time Protocol (NTP) Server Detection","An NTP server is listening on the remote host.","An NTP server is listening on port 123. If not securely configured,
it may provide information about its version, current date, current
time, and possibly system information.","n/a","http://www.ntp.org","
  An NTP service has been discovered, listening on port 123.

  No sensitive information has been disclosed.

  Version : unknown
","","","","","","","","","None","","IAVT:0001-T-0934","","2015/03/20","2021/02/24","","",""
"11219","","","None","10.7.1.11","tcp","22","Nessus SYN scanner","It is possible to determine which TCP ports are open.","This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.","Protect your target with an IP filter.","","Port 22/tcp was found to be open","","","","","","","","","None","","","","2009/02/04","2025/07/14","","",""
"11219","","","None","10.7.1.11","tcp","5601","Nessus SYN scanner","It is possible to determine which TCP ports are open.","This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.","Protect your target with an IP filter.","","Port 5601/tcp was found to be open","","","","","","","","","None","","","","2009/02/04","2025/07/14","","",""
"11219","","","None","10.7.1.11","tcp","6556","Nessus SYN scanner","It is possible to determine which TCP ports are open.","This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.","Protect your target with an IP filter.","","Port 6556/tcp was found to be open","","","","","","","","","None","","","","2009/02/04","2025/07/14","","",""
"11936","","","None","10.7.1.11","tcp","0","OS Identification","It is possible to guess the remote operating system.","Using a combination of remote probes (e.g., TCP/IP, SMB, HTTP, NTP,
SNMP, etc.), it is possible to guess the name of the remote operating
system in use. It is also possible sometimes to guess the version of
the operating system.","n/a","","
Remote operating system : Linux Kernel 2.6
Confidence level : 65
Method : SinFP

Not all fingerprints could give a match. If you think that these
signatures would help us improve OS fingerprinting, please submit
them by visiting https://www.tenable.com/research/submitsignatures.

SSH:!:SSH-2.0-OpenSSH_8.9p1 Ubuntu-3ubuntu0.13
NTP:!:unknown
SinFP:
   P1:B10113:F0x12:W62727:O0204ffff:M8961:
   P2:B10113:F0x12:W62643:O0204ffff0402080affffffff4445414401030307:M8961:
   P3:B00000:F0x00:W0:O0:M0
   P4:191603_7_p=22R
SSLcert:!:i/CN:Elastic Certificate Tool Autogenerated CAs/CN:kb1-za.sharkstriker.locals/OU:SOCv2
653f025c743a5279ad366c0920ac14caff41f69e


 
The remote host is running Linux Kernel 2.6","","","","","","","","","None","","","","2003/12/09","2025/06/03","","",""
"19506","","","None","10.7.1.11","tcp","0","Nessus Scan Information","This plugin displays information about the Nessus scan.","This plugin displays, for each tested host, information about the
scan itself :

  - The version of the plugin set.
  - The type of scanner (Nessus or Nessus Home).
  - The version of the Nessus Engine.
  - The port scanner(s) used.
  - The port range scanned.
  - The ping round trip time 
  - Whether credentialed or third-party patch management
    checks are possible.
  - Whether the display of superseded patches is enabled
  - The date of the scan.
  - The duration of the scan.
  - The number of hosts scanned in parallel.
  - The number of checks done in parallel.","n/a","","Information about this scan : 

Nessus version : 10.11.3
Nessus build : 20047
Plugin feed version : 202604202226
Scanner edition used : Nessus
Scanner OS : LINUX
Scanner distribution : ubuntu1604-x86-64
Scan type : Normal
Scan name : ZA_VPC1_Final
Scan policy used : Custom Full Scan
Scanner IP : 10.8.0.1
Port scanner(s) : nessus_syn_scanner 
Port range : 1-65535
Ping RTT : 235.120 ms
Thorough tests : no
Experimental tests : no
Scan for Unpatched Vulnerabilities : yes
Plugin debugging enabled : no
Paranoia level : 1
Report verbosity : 1
Safe checks : yes
Optimize the test : yes
Credentialed checks : no
Patch management checks : None
Display superseded patches : yes (supersedence plugin did not launch)
CGI scanning : enabled
Web application tests : enabled
Web app tests -  Test mode : single
Web app tests -  Try all HTTP methods : no
Web app tests -  Maximum run time : 5 minutes.
Web app tests -  Stop at first flaw : CGI
Max hosts : 10
Max checks : 5
Recv timeout : 12
Backports : Detected
Allow post-scan editing : Yes
Nessus Plugin Signature Checking : Enabled
Audit File Signature Checking : Disabled
Scan Start Date : 2026/5/2 16:15 IST (UTC +05:30)
Scan duration : 1627 sec
Scan for malware : no
Fully Scan Operational Technology devices : no
Safely Scan Operational Technology devices with OT Discovery : no
","","","","","","","","","None","","","","2005/08/26","2026/03/04","","",""
