Plugin ID,CVE,CVSS v2.0 Base Score,Risk,Host,Protocol,Port,Name,Synopsis,Description,Solution,See Also,Plugin Output,STIG Severity,CVSS v4.0 Base Score,CVSS v4.0 Base+Threat Score,CVSS v3.0 Base Score,CVSS v2.0 Temporal Score,CVSS v3.0 Temporal Score,VPR Score,EPSS Score,Risk Factor,BID,XREF,MSKB,Plugin Publication Date,Plugin Modification Date,Metasploit,Core Impact,CANVAS
"10114","CVE-1999-0524","2.1","Low","10.8.1.11","icmp","0","ICMP Timestamp Request Remote Date Disclosure","It is possible to determine the exact time set on the remote host.","The remote host answers to an ICMP timestamp request.  This allows an
attacker to know the date that is set on the targeted machine, which
may assist an unauthenticated, remote attacker in defeating time-based
authentication protocols.

Timestamps returned from machines running Windows Vista / 7 / 2008 /
2008 R2 are deliberately incorrect, but usually within 1000 seconds of
the actual system time.","Filter out the ICMP timestamp requests (13), and the outgoing ICMP
timestamp replies (14).","","The remote clock is synchronized with the local clock.
","","","","","","","","0.0037","Low","","CWE:200","","1999/08/01","2024/10/07","","",""
"10223","CVE-1999-0632","0.0","None","10.8.1.11","udp","111","RPC portmapper Service Detection","An ONC RPC portmapper is running on the remote host.","The RPC portmapper is running on this port.

The portmapper allows someone to get the port number of each RPC
service running on the remote host by sending either multiple lookup
requests or a DUMP request.","n/a","","","","","","0.0","","","","","None","","","","1999/08/19","2019/10/04","","",""
"10267","","","None","10.8.1.11","tcp","22","SSH Server Type and Version Information","An SSH server is listening on this port.","It is possible to obtain information about the remote SSH server by
sending an empty authentication request.","n/a","","
SSH version : SSH-2.0-OpenSSH_8.9p1 Ubuntu-3ubuntu0.15
SSH supported authentication : publickey
","","","","","","","","","None","","IAVT:0001-T-0933","","1999/10/12","2024/07/24","","",""
"10287","","","None","10.8.1.11","udp","0","Traceroute Information","It was possible to obtain traceroute information.","Makes a traceroute to the remote host.","n/a","","For your information, here is the traceroute from 10.8.0.1 to 10.8.1.11 : 
10.8.0.1
10.8.1.11

Hop Count: 1
","","","","","","","","","None","","","","1999/11/27","2023/12/04","","",""
"10863","","","None","10.8.1.11","tcp","5601","SSL Certificate Information","This plugin displays the SSL certificate.","This plugin connects to every SSL-related port and attempts to 
extract and dump the X.509 certificate.","n/a","","Subject Name: 

Domain Component: com
Domain Component: sov2
Organization Unit: SOCv2
Common Name: kb1-sa.sharkstriker.local

Issuer Name: 

Common Name: Elastic Certificate Tool Autogenerated CA

Serial Number: 5F 8A 05 81 68 69 27 24 7C 8B 58 EC ED 48 04 55 7F 83 FA 77 

Version: 3

Signature Algorithm: SHA-256 With RSA Encryption

Not Valid Before: May 23 14:28:51 2024 GMT
Not Valid After: May 23 14:28:51 2027 GMT

Public Key Info: 

Algorithm: RSA Encryption
Key Length: 2048 bits
Public Key: 00 B6 C9 DA FB 77 62 0A A3 79 C9 92 85 86 14 52 51 57 AA 75 
            1B C7 8B 1E 9A 92 93 CA A6 88 52 97 A1 C0 A4 DD 86 C9 DF 45 
            49 8D 72 E1 86 2A A4 1E 5B 5A 59 58 EF 26 FB 68 72 5B 2A 09 
            A5 2F B8 CF EB 2D 5C 6D 2F 34 9E 55 C8 A1 95 A8 24 F4 7B B6 
            72 B7 F9 4C EF 19 21 C0 D5 35 B2 74 89 4F 77 1B E7 FA C4 F5 
            02 95 FC 7E E1 20 77 9D 5C FA 47 D2 32 09 5E C4 32 28 57 FC 
            72 D6 8D FE 60 D3 A4 D8 41 AE 24 85 7E 31 55 52 52 3A 76 4B 
            16 EF E3 FF FF 58 18 C8 4D ED F6 4C 53 94 A4 A5 8A 1F 4E 80 
            EC C8 00 61 03 58 59 91 DD 4F CE 49 74 1D 31 21 E1 3A 60 78 
            B7 DD 56 CD 3F C4 81 3A 32 AB 87 9D 8E A1 68 81 94 1E 6C 35 
            E7 17 32 80 96 82 C8 2B 7B 21 95 A5 92 B8 18 6B 46 96 38 6A 
            B7 7C 10 E3 8F 9F 3E 1D 74 A2 65 67 B7 E0 32 60 E1 FC E4 3C 
            5F 80 F6 EF 01 86 A1 23 14 F8 F1 FD AA 68 08 1D CD 
Exponent: 01 00 01 

Signature Length: 256 bytes / 2048 bits
Signature: 00 08 86 34 34 42 91 A6 A2 88 B6 72 F7 CC 5D F9 E1 68 B2 76 
           21 E9 DE 24 B5 79 D3 96 73 6E F7 C5 81 50 51 CA C1 19 9B C3 
           78 45 77 E1 7C 68 F1 B5 1A FD 18 71 84 00 58 1B B1 B1 3B 0D 
           0A 3E 21 92 17 94 29 B5 C9 78 A8 F1 81 B4 3F 0A E4 B6 83 01 
           EA A0 ED 12 93 4F 3A 85 7F F3 09 CA 6F C0 49 E4 68 D8 58 1B 
           83 21 E4 1E 0A 12 B1 7E C0 20 22 F5 9A 77 44 6D 87 65 7B 41 
           C3 09 8E 84 EF 4E 6E EB C7 FF 0E 16 2F 35 06 56 16 1E D9 F0 
           74 87 E4 18 9B F5 21 17 A1 57 08 5B 4F B9 26 85 4B DF C8 3E 
           35 13 A5 42 A8 DA C4 AE EA B4 3C F8 0E AB 2C DC 61 D1 66 E5 
           25 59 DF 43 C3 73 6C 90 B6 6D 85 31 AD 4E 00 87 D8 7B B9 88 
           AC 4D A8 EE AA EC 7C 74 4E 32 47 72 BE 74 C5 2E 70 2C 37 31 
           0D F2 11 FD F2 87 E7 7F 85 E6 16 1E 6D 09 46 B3 FD 8F 75 1A 
           C1 8F CE 5B 42 3A 8A 42 97 B5 F8 48 F3 BE 58 E9 00 

Extension: Subject Key Identifier(2.5.29.14)
Critical: 0
Subject Key Identifier: F2 F0 26 8A AA 36 A4 F7 E7 0D 54 23 B0 42 3F D0 8E F7 35 69 


Extension: Authority Key Identifier(2.5.29.35)
Critical: 0
Key Identifier: 2F 08 BD E5 78 35 6A 1D 75 A9 C9 55 B9 B9 A5 41 E0 12 7E 92 


Extension: Basic Constraints(2.5.29.19)
Critical: 0


Fingerprints : 

SHA-256 Fingerprint: F7 22 AE 30 02 01 1F 51 68 E6 B9 EF D9 2E A5 85 4D B8 83 0A 
                     62 F5 B2 F0 ED EB 77 FF 12 00 A8 75 
SHA-1 Fingerprint: C2 5E F7 14 C7 77 36 65 CB AD 80 03 DF 28 1C 13 7E A8 D8 2D 
MD5 Fingerprint: 2B 79 4A DF 0A DA 76 51 D4 CD C7 7D 60 9B 27 65 


PEM certificate : 

-----BEGIN CERTIFICATE-----
MIIDbjCCAlagAwIBAgIUX4oFgWhpJyR8i1js7UgEVX+D+ncwDQYJKoZIhvcNAQELBQAwNDEyMDAGA1UEAxMpRWxhc3RpYyBDZXJ0aWZpY2F0ZSBUb29sIEF1dG9nZW5lcmF0ZWQgQ0EwHhcNMjQwNTIzMTQyODUxWhcNMjcwNTIzMTQyODUxWjBfMRMwEQYKCZImiZPyLGQBGRYDY29tMRQwEgYKCZImiZPyLGQBGRYEc292MjEOMAwGA1UECxMFU09DdjIxIjAgBgNVBAMTGWtiMS1zYS5zaGFya3N0cmlrZXIubG9jYWwwggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAwggEKAoIBAQC2ydr7d2IKo3nJkoWGFFJRV6p1G8eLHpqSk8qmiFKXocCk3YbJ30VJjXLhhiqkHltaWVjvJvtoclsqCaUvuM/rLVxtLzSeVcihlagk9Hu2crf5TO8ZIcDVNbJ0iU93G+f6xPUClfx+4SB3nVz6R9IyCV7EMihX/HLWjf5g06TYQa4khX4xVVJSOnZLFu/j//9YGMhN7fZMU5SkpYofToDsyABhA1hZkd1Pzkl0HTEh4TpgeLfdVs0/xIE6MquHnY6haIGUHmw15xcygJaCyCt7IZWlkrgYa0aWOGq3fBDjj58+HXSiZWe34DJg4fzkPF+A9u8BhqEjFPjx/apoCB3NAgMBAAGjTTBLMB0GA1UdDgQWBBTy8CaKqjak9+cNVCOwQj/Qjvc1aTAfBgNVHSMEGDAWgBQvCL3leDVqHXWpyVW5uaVB4BJ+kjAJBgNVHRMEAjAAMA0GCSqGSIb3DQEBCwUAA4IBAQAIhjQ0QpGmooi2cvfMXfnhaLJ2IeneJLV505ZzbvfFgVBRysEZm8N4RXfhfGjxtRr9GHGEAFgbsbE7DQo+IZIXlCm1yXio8YG0PwrktoMB6qDtEpNPOoV/8wnKb8BJ5GjYWBuDIeQeChKxfsAgIvWad0Rth2V7QcMJjoTvTm7rx/8OFi81BlYWHtnwdIfkGJv1IRehVwhbT7kmhUvfyD41E6VCqNrEruq0PPgOqyzcYdFm5SVZ30PDc2yQtm2FMa1OAIfYe7mIrE2o7qrsfHROMkdyvnTFLnAsNzEN8hH98ofnf4XmFh5tCUaz/Y91GsGPzltCOopCl7X4SPO+WOkA
-----END CERTIFICATE-----","","","","","","","","","None","","","","2008/05/19","2021/02/03","","",""
"10881","","","None","10.8.1.11","tcp","22","SSH Protocol Versions Supported","A SSH server is running on the remote host.","This plugin determines the versions of the SSH protocol supported by
the remote SSH daemon.","n/a","","The remote SSH daemon supports the following versions of the
SSH protocol :

  - 1.99
  - 2.0
","","","","","","","","","None","","","","2002/03/06","2026/01/12","","",""
"10884","","","None","10.8.1.11","udp","123","Network Time Protocol (NTP) Server Detection","An NTP server is listening on the remote host.","An NTP server is listening on port 123. If not securely configured,
it may provide information about its version, current date, current
time, and possibly system information.","n/a","http://www.ntp.org","
  An NTP service has been discovered, listening on port 123.

  No sensitive information has been disclosed.

  Version : unknown
","","","","","","","","","None","","IAVT:0001-T-0934","","2015/03/20","2021/02/24","","",""
"11111","","","None","10.8.1.11","tcp","111","RPC Services Enumeration","An ONC RPC service is running on the remote host.","By sending a DUMP request to the portmapper, it was possible to
enumerate the ONC RPC services running on the remote port.  Using this
information, it is possible to connect and bind to each service by
sending an RPC request to the remote port.","n/a","","
The following RPC services are available on TCP port 111 :

 - program: 100000 (portmapper), version: 4
 - program: 100000 (portmapper), version: 3
 - program: 100000 (portmapper), version: 2
","","","","","","","","","None","","","","2002/08/24","2011/05/24","","",""
"11111","","","None","10.8.1.11","udp","111","RPC Services Enumeration","An ONC RPC service is running on the remote host.","By sending a DUMP request to the portmapper, it was possible to
enumerate the ONC RPC services running on the remote port.  Using this
information, it is possible to connect and bind to each service by
sending an RPC request to the remote port.","n/a","","
The following RPC services are available on UDP port 111 :

 - program: 100000 (portmapper), version: 4
 - program: 100000 (portmapper), version: 3
 - program: 100000 (portmapper), version: 2
","","","","","","","","","None","","","","2002/08/24","2011/05/24","","",""
"11219","","","None","10.8.1.11","tcp","22","Nessus SYN scanner","It is possible to determine which TCP ports are open.","This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.","Protect your target with an IP filter.","","Port 22/tcp was found to be open","","","","","","","","","None","","","","2009/02/04","2025/07/14","","",""
